feature,xgboost_importance,lightgbm_importance
route_average_delay_minutes,0.14271612,6153
day_of_week,0.13770308,2051
month,0.11282488,41
airline_average_delay_minutes,0.059249483,1373
departure_hour,0.05772668,708
departure_period,0.047415625,363
airline_delay_rate,0.040254172,1118
airline,0.04022583,656
airline_previous_delays,0.037983287,325
route_previous_delays,0.037159756,979
route_previous_flights,0.0365601,1338
airline_previous_flights,0.035282098,576
route_delay_rate,0.032653946,535
origin_airport,0.02920717,419
destination_airport,0.027758611,359
distance_miles,0.02186329,309
destination_flights_1h,0.021199036,1069
origin_congestion_ratio,0.021077279,1
origin_flights_1h,0.020833265,1119
destination_congestion_ratio,0.019416647,180
route_flights_1h,0.010901189,116
route_congestion_ratio,0.00998841,9
airline_hist_delay,0.0,512
destination_airport_hist_delay,0.0,906
day,0.0,412
departure_delay,0.0,0
departure_minute_of_day,0.0,3833
origin_airport_hist_delay,0.0,960
route_hist_delay,0.0,0
route_flights_3h,0.0,0
scheduled_speed,0.0,648
scheduled_time,0.0,532
season,0.0,0
taxi_out,0.0,0
